lmb,r_component,mean_rmse
0.01,1.0,1.0024469536202838
0.01,2.0,0.9759278470690844
0.01,3.0,0.9693820393199053
0.01,4.0,0.9721814889810781
0.01,5.0,0.9786665090317961
0.01,10.0,1.0106888933250116
0.05,1.0,1.0085894199366798
0.05,2.0,0.9828774418365173
0.05,3.0,0.9652096350001637
0.05,4.0,0.9601029628257075
0.05,5.0,0.9556635341293618
0.05,10.0,0.9527983925610165
0.1,1.0,1.0177083133343696
0.1,2.0,0.9888980963299213
0.1,3.0,0.9688168255467838
0.1,4.0,0.9542336431643269
0.1,5.0,0.9424862049107944
0.1,10.0,0.91973743810833
1.0,1.0,1.412471118603224
1.0,2.0,1.3903094900297368
1.0,3.0,1.3751458802260934
1.0,4.0,1.3640504874938428
1.0,5.0,1.355681138860834
1.0,10.0,1.3313317765471055
