lmb,r_component,mean_rmse
0.001,1.0,1.1906149952907206
0.001,5.0,1.1229216378641556
0.001,10.0,1.198663091562851
0.001,25.0,1.4813618607152708
0.01,1.0,1.0947277132306081
0.01,5.0,1.1069041041760257
0.01,10.0,1.1808217507117498
0.01,25.0,1.384551415722393
0.05,1.0,1.084140443459837
0.05,5.0,1.0936505217875978
0.05,10.0,1.1198054708490521
0.05,25.0,1.1617325178454854
0.1,1.0,1.1010381566666616
0.1,5.0,1.0805975944401875
0.1,10.0,1.0826846607198206
0.1,25.0,1.080967571490858
1.0,1.0,1.4607342581666223
1.0,5.0,1.4352729594472613
1.0,10.0,1.4348705497691174
1.0,25.0,1.4365286888841273
