r_component,mean_rmse
4.0,3.000302158467258
6.0,2.967849305939077
8.0,2.961660400007166
10.0,2.9630041614814497
12.0,2.9726389768823855
14.0,2.9850887734418547
16.0,2.993280391523903
18.0,3.0029150958119697
20.0,3.0163496820723568
22.0,3.0273092830817876
24.0,3.0408508820454503
26.0,3.048295413830408
28.0,3.0590188045661657
30.0,3.066064868454093
32.0,3.0769461213439437
34.0,3.083981509139528
36.0,3.0951534721025538
38.0,3.103443408350901
40.0,3.1108834714911566
42.0,3.1205835320402864
44.0,3.1287320895189294
46.0,3.137113145603373
48.0,3.1462213351525476
50.0,3.1536757559631505
