r_component,mean_rmse
4.0,1.0193452243349062
6.0,1.0177569069600536
8.0,1.0155229627518572
10.0,1.0137796379111348
12.0,1.013432033593317
14.0,1.0125994578607123
16.0,1.0124555795231156
18.0,1.0108138452229694
20.0,1.010792356153814
22.0,1.0116461613957597
24.0,1.012458764426491
26.0,1.01301985675919
28.0,1.0142735375902516
30.0,1.014692012169505
32.0,1.0153480741577061
34.0,1.0156946635129598
36.0,1.0157823998478164
38.0,1.016067785827974
40.0,1.0161506690970223
42.0,1.017505499047849
44.0,1.0178127614074508
46.0,1.0178316121966593
48.0,1.0186044656884823
50.0,1.0189871470762342
