r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
10.0,1.0221429055679958,1.0211843487301093,1.0161401401626864,1.0150476899449588,1.012772947915843
15.0,1.0184736814749769,1.021299665812296,1.0122593609027828,1.012596079711744,1.0050386250498664
20.0,1.016530451961944,1.0195138250803297,1.0116713650000895,1.010279638360991,1.007090097310835
25.0,1.0152125482252874,1.0187596747295022,1.00780412903162,1.007022744703552,1.0039650171457764
30.0,1.0165548414734993,1.0188326814186575,1.0087569669335061,1.0086156349584612,1.0046808832222582
35.0,1.015883916546889,1.0182728297022479,1.0109788066367351,1.0087508224767765,1.0054208979679142
40.0,1.0179075431250961,1.0197022755190193,1.012032777942831,1.0115794597664738,1.006382103634828
45.0,1.0199332317816725,1.0210872295070141,1.012436917504208,1.0123512044122946,1.0064067378625172
50.0,1.0197387457748928,1.0198663814001079,1.0123879394831357,1.012504258414689,1.008449281025001
60.0,1.0192219621077845,1.0228824424631213,1.0180414967553546,1.0148461601224237,1.0091865324895053
