lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0.001,1.0,1.0964484197646251,1.0975784414187393,1.5833795476409747,1.0836087228943947,1.09205984473487
0.001,5.0,1.1195519809602847,1.1389113468059635,1.1064706433850744,1.1348823949115436,1.114791823257911
0.001,10.0,1.2076361146355894,1.1874557143472655,1.2020698748135026,1.2065372504232508,1.1896165035946467
0.001,25.0,1.4805561159429224,1.4756162604294634,1.4767835224138943,1.4879684744606465,1.4858849303294273
0.01,1.0,1.0844435217071924,1.1078702121645554,1.1090612513407307,1.0835915627508725,1.0886720181896892
0.01,5.0,1.1011867181492399,1.0944794008673682,1.0952719604860632,1.1330184673799495,1.1105639739975066
0.01,10.0,1.1914213368511162,1.1751885302024154,1.1884574874535083,1.1704956210974395,1.17854577795427
0.01,25.0,1.3748289741588375,1.3818934810249635,1.3829292035136425,1.3972466887127903,1.3858587312017325
0.05,1.0,1.0801196240882105,1.0812151181885472,1.0881637113989666,1.0889096394585445,1.0822941241649167
0.05,5.0,1.1009390276933904,1.08478068965217,1.093720270158182,1.1030651003722514,1.0857475210619938
0.05,10.0,1.1070866716285341,1.1196737742918743,1.1276500717799747,1.1266327413413166,1.1179840952035605
0.05,25.0,1.1682269906066167,1.1550476063676567,1.1568706839325171,1.1608393404832755,1.1676779678373608
0.1,1.0,1.1013217985547346,1.0830766320194514,1.1149250943377467,1.09690056812342,1.1089666902979551
0.1,5.0,1.0872177544445325,1.063878124531563,1.0899280593199643,1.083002232899597,1.0789618010052813
0.1,10.0,1.086168261157356,1.073528957259965,1.085340499840963,1.0845978319101426,1.0837877534306775
0.1,25.0,1.08158194655587,1.078080539029393,1.0813011047525976,1.0805155066463132,1.083358760470116
1.0,1.0,1.4657415780350238,1.4521892344554206,1.461964673004212,1.4639559607754593,1.4598198445629955
1.0,5.0,1.4392716735781528,1.4273362042130062,1.4371599321580344,1.4355287519376643,1.4370682353494482
1.0,10.0,1.440175757718635,1.4245368723689924,1.4355719287213895,1.4406706109973855,1.4333975790391857
1.0,25.0,1.4409158231078216,1.4285255608246183,1.4358439126031934,1.4429361591075944,1.4344219887774097
