r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
4.0,1.0129510437468425,1.0195320637419245,1.0254122213201222,1.0166889733286795,1.0221418195369618
6.0,1.009260685086194,1.0184432519343536,1.02371832386877,1.015493356247364,1.0218689176635865
8.0,1.0088245534875444,1.015749678382294,1.0231369134434152,1.0121675090594426,1.0177361593865901
10.0,1.0061545126654103,1.0143391050837718,1.0208140321543242,1.0104452745687413,1.0171452650834267
12.0,1.0054458250377458,1.013709515444529,1.0210204546823993,1.01002192804692,1.0169624447549903
14.0,1.0054643188864416,1.0109542826020275,1.0207593839095193,1.009057999479358,1.016761304426216
16.0,1.0058587733225208,1.0110278529215457,1.0198177601883762,1.009672073123104,1.0159014380600313
18.0,1.0026246114420052,1.0093220969312997,1.0188570158191916,1.008597198892956,1.0146683030293941
20.0,1.0038108573917515,1.0098009811444557,1.0187170850779728,1.0074288940888156,1.0142039630660733
22.0,1.0051313775476358,1.0110339835398536,1.0192219621077845,1.0085173053813365,1.014326178402188
24.0,1.0058279621403032,1.0115978414811755,1.0192219621077845,1.0095677069549942,1.0160783494481977
26.0,1.0063885780109538,1.0121246420132242,1.019440867170899,1.010377796428565,1.0167674001723077
28.0,1.0070781383557599,1.0126205639847778,1.0223551225132013,1.0113036939526576,1.0180101691448609
30.0,1.0085418886743818,1.0131223611828022,1.0221914161826535,1.0120144041280938,1.0175899906795944
32.0,1.008849129293672,1.013428213143056,1.0229127399470064,1.0127246155412593,1.018825672863537
34.0,1.008474283176538,1.0139785141868676,1.0227976047336647,1.0128653741625382,1.0203575413051906
36.0,1.0085726169480609,1.0147789746209621,1.0234397725886117,1.013544412688116,1.0185762223933315
38.0,1.0093036737701162,1.0150232642187766,1.0235427242839312,1.013917384375801,1.0185518824912445
40.0,1.0093036737701162,1.0150049445383986,1.0248862029817405,1.0131040071289192,1.0184545170659371
42.0,1.0114385221886715,1.0157008601055821,1.0254726659086577,1.0143635472844064,1.020551899751927
44.0,1.0110952876784696,1.0167987044129139,1.0257990051412498,1.0154689412410796,1.0199018685635424
46.0,1.010935889185579,1.0169023284534864,1.0263547515190283,1.01454073562845,1.020424356196752
48.0,1.012596079711744,1.0178222907269079,1.0254122213201222,1.0165487441504697,1.0206429925331681
50.0,1.0122042507969833,1.0186014756187973,1.0260708752166772,1.0164267900088095,1.0216323437399022
