r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
1.0,1.2413183416307856,1.236279887618325,1.2212884975662783,1.2396194653611112,1.2432582973664992
2.0,1.2621993585432911,1.2582252808385312,1.244843581826312,1.253803654052601,1.259119845213029
3.0,1.2352265775045446,1.2245069885477302,1.2141931016867402,1.2150198020824892,1.2283023633273904
4.0,1.2570325798988498,1.243493504048174,1.2381835996608033,1.2439470146021498,1.2464547105682655
5.0,1.2871012557235924,1.2739499130729182,1.266366549078184,1.2798767497189585,1.2764166205167093
10.0,1.4174531392933338,1.4136436808436383,1.3978764647140596,1.3984306102791644,1.4124067755583016
20.0,1.684869032437978,1.6880261374722279,1.6763976021557985,1.6801794325522135,1.6782405881274112
50.0,2.273372024107372,2.264017398471606,2.2476634259123105,2.2509040733930434,2.256788208637088
100.0,2.8479422445885247,2.840148795877472,2.826921224909022,2.8329640883461753,2.8362589506924056
150.0,3.1582589497055418,3.157332489687907,3.144737465888026,3.1523775954647877,3.156219501091741
200.0,3.344091414614641,3.3452348233279867,3.337085291934989,3.345043973523646,3.345270465938686
